review,rating,date,bank,source,cleaned_text,textblob_sentiment,vader_sentiment,transformer_sentiment,transformer_score
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,really happy app siple use everything,positive,positive,POSITIVE,0.9997885823249817
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,liked app user interface basic attractive,positive,positive,POSITIVE,0.9996671676635742
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,atm support transfer like country kenya nigeria south africa,neutral,positive,NEGATIVE,0.8313249945640564
what is this app problem???,1,2025-06-05,CBE,Google Play,app problem,neutral,negative,NEGATIVE,0.9991914629936218
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,app proactive good connection,positive,positive,POSITIVE,0.9998316764831543
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,send cbebirr app app,neutral,neutral,NEGATIVE,0.9793662428855896
good,4,2025-06-05,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
not functional,1,2025-06-05,CBE,Google Play,functional,neutral,neutral,POSITIVE,0.9993332028388977
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,everytime uninstall app reach physically oldy one security layer check fraud attempt via app source directly source app store play store etc implicitly 2025 physical presence every app install traditional traditionally rare,positive,neutral,NEGATIVE,0.9954937696456909
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,neutral,NEGATIVE,0.9616847634315491
best,5,2025-06-04,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
bezabih,5,2025-06-04,CBE,Google Play,bezabih,neutral,neutral,POSITIVE,0.9654072523117065
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,best mobile banking app ever,positive,positive,POSITIVE,0.9997294545173645
good,5,2025-06-04,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,good app issue like doesnt give right amount bank issue transferring,positive,positive,POSITIVE,0.9678292870521545
Good,5,2025-06-04,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
👌👍,5,2025-06-04,CBE,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
very niec,5,2025-06-04,CBE,Google Play,niec,neutral,neutral,POSITIVE,0.5998039841651917
best app of finance,5,2025-06-04,CBE,Google Play,best app finance,positive,positive,POSITIVE,0.9994705319404602
yetemeta,1,2025-06-03,CBE,Google Play,yetemeta,neutral,neutral,POSITIVE,0.655367374420166
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,engida kebede fetera,neutral,neutral,NEGATIVE,0.8396735787391663
good,5,2025-06-03,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
it is not safety,1,2025-06-03,CBE,Google Play,safety,neutral,positive,POSITIVE,0.9971936345100403
NICE bank,5,2025-06-03,CBE,Google Play,nice bank,positive,positive,POSITIVE,0.9998055100440979
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,like childish app make better worst ever seen,negative,negative,NEGATIVE,0.9997608065605164
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,problem solver application go ahead cbe love much,positive,positive,POSITIVE,0.9991011619567871
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,good try make facilitate client,positive,positive,POSITIVE,0.9987378716468811
best app,5,2025-06-01,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
Awesome bank,5,2025-06-01,CBE,Google Play,awesome bank,positive,positive,POSITIVE,0.9998461008071899
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,app developed good way comment need make preventing screenshot likely good someone like coz need make screenshot quicker evidence would good make u access recent transaction history 30 day coz go bank person see old transaction add colander category user easily access old transaction colander,positive,positive,NEGATIVE,0.996238112449646
Masha alla,5,2025-05-31,CBE,Google Play,masha alla,neutral,neutral,NEGATIVE,0.9514628052711487
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,recently big problem sending safaricom telebir even cbebirr wallet could anybody responsible fix frustrating 5 day money returned take account send mpesa corrected sent back money still afraid send,negative,negative,NEGATIVE,0.9985342025756836
better service,5,2025-05-31,CBE,Google Play,better service,positive,positive,POSITIVE,0.9982219338417053
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,good app time manager,positive,positive,POSITIVE,0.9998489618301392
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,malkaamuu jiidhaa namoo,neutral,neutral,NEGATIVE,0.9887813329696655
lower system everything,3,2025-05-30,CBE,Google Play,lower system everything,neutral,negative,NEGATIVE,0.9993475079536438
Nice!,5,2025-05-30,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
Keep it up My CBE,5,2025-05-29,CBE,Google Play,keep cbe,neutral,neutral,POSITIVE,0.992401123046875
yes good,5,2025-05-28,CBE,Google Play,yes good,positive,positive,POSITIVE,0.9998410940170288
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,using app last two year problem stopped working 3 month ago tried transfer fund give error ca transaction inactive account,neutral,negative,NEGATIVE,0.9967876672744751
i like everything of this app,5,2025-05-27,CBE,Google Play,like everything app,neutral,positive,POSITIVE,0.9987452030181885
good,5,2025-05-27,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,network,neutral,neutral,POSITIVE,0.9776424169540405
Best,5,2025-05-26,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,cbe best financial application dimple use would like say thank much developer application really appreciate app,positive,positive,POSITIVE,0.9978892207145691
nice,5,2025-05-26,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
good job,5,2025-05-26,CBE,Google Play,good job,positive,positive,POSITIVE,0.999835729598999
Good,5,2025-05-25,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
it's awesome!!,5,2025-05-25,CBE,Google Play,awesome,positive,positive,POSITIVE,0.9998682737350464
best,5,2025-05-25,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
thankyou every one,5,2025-05-25,CBE,Google Play,thankyou every one,neutral,neutral,POSITIVE,0.9998461008071899
best app,5,2025-05-25,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,ronaldo,neutral,neutral,POSITIVE,0.9992672801017761
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,app absolutely fantastic love enjoying let u support foundation together,positive,positive,POSITIVE,0.9997773766517639
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon influence removed essential service,negative,negative,NEGATIVE,0.9995952248573303
mortuary app,5,2025-05-25,CBE,Google Play,mortuary app,neutral,neutral,NEGATIVE,0.7924917340278625
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,smart app stoped period time device reason,positive,positive,NEGATIVE,0.9639247059822083
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,amazing app used app one year,positive,positive,POSITIVE,0.9996716976165771
👍,5,2025-05-24,CBE,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
good app,5,2025-05-24,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
i love it 😍😘,5,2025-05-24,CBE,Google Play,love,positive,positive,POSITIVE,0.9998735189437866
It makes life easy!👌,5,2025-05-24,CBE,Google Play,make life easy,positive,positive,POSITIVE,0.999527096748352
its not fast,1,2025-05-24,CBE,Google Play,fast,positive,neutral,POSITIVE,0.9989494681358337
wow,4,2025-05-24,CBE,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
it is sooo good,5,2025-05-24,CBE,Google Play,sooo good,positive,positive,POSITIVE,0.9998644590377808
excellent,5,2025-05-24,CBE,Google Play,excellent,positive,positive,POSITIVE,0.9998434782028198
ok,1,2025-05-24,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
Fantastic,5,2025-05-23,CBE,Google Play,fantastic,positive,positive,POSITIVE,0.9998743534088135
accessible to using,5,2025-05-23,CBE,Google Play,accessible using,positive,neutral,POSITIVE,0.9994408488273621
I like it,4,2025-05-23,CBE,Google Play,like,neutral,positive,POSITIVE,0.9910564422607422
good,5,2025-05-23,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
why you change default network?,5,2025-05-23,CBE,Google Play,change default network,neutral,neutral,NEGATIVE,0.9772279858589172
very nice 👍,5,2025-05-23,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
nice fast app,5,2025-05-23,CBE,Google Play,nice fast app,positive,positive,POSITIVE,0.999833345413208
best,5,2025-05-23,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
how to I get my money,5,2025-05-23,CBE,Google Play,get money,neutral,neutral,NEGATIVE,0.6802433729171753
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,bad ca even load need improve service,negative,negative,NEGATIVE,0.9990552067756653
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,good app please make reliable crash sometimes,positive,positive,POSITIVE,0.9988992214202881
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,busy know prefer 889,positive,neutral,NEGATIVE,0.9723219275474548
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,sometimes nasty lag several hour fix rest,negative,negative,NEGATIVE,0.997215747833252
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,boring mobil banking application use alternative private bank mobile banking apps,negative,negative,NEGATIVE,0.9936991930007935
hojii bonsaadha,5,2025-05-22,CBE,Google Play,hojii bonsaadha,neutral,neutral,POSITIVE,0.9568662047386169
ok,5,2025-05-22,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,app easy,positive,positive,POSITIVE,0.9790865778923035
Awosome!!!,5,2025-05-22,CBE,Google Play,awosome,neutral,neutral,NEGATIVE,0.6613027453422546
"Very good app,",5,2025-05-22,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
